"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aruba","ABW","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26874706899042","0.23495476766084","0.23877758449987","0.19513431942515","0.1832405398669","0.17337173327303","0.16747428459136","0.16009586733547","0.15787569080815","0.1609276380841","0.17526608077747","0.18052333451441","0.18139090325178","0.18454967120205","0.18705471122668","0.18659944970885","0.18993722677677","0.19005913242885","0.19354602576648","0.29977381583437","5.464715905739","5.661788374133","6.8558495690859","6.88975298438","6.9275015416327","6.726747565984","","","","",""
"Afghanistan","AFG","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.924531682893","17.036443528294","26.521628654437","30.585667048993","32.796250550401","35.075640291794","37.945747500144","41.432600873103","44.094336854363","52.185774372805","54.243126369838","54.055055038899","43.77114856588","42.276140880363","49.84314769562","40.85917121683","37.13724949118","33.862578826503","21.3437080759","17.81385475646","14.83980596458","11.482706229124","13.973585688861","16.334292508474","19.314268613398","18.423477169322","","","","",""
"Angola","AGO","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.255251921668","71.888639204456","72.723282517217","71.27705631908","72.220268908344","73.945888339251","73.139600450704","73.734415950613","76.819793626539","73.410783828538","74.618171442727","73.757858961715","72.125126439225","67.306116719292","65.493064622132","70.954202358525","65.022564178086","61.599703502414","58.107975037366","55.748976505549","54.193836624215","52.715678762542","52.245736309469","50.686116006395","50.797460680542","49.568210329578","","","","",""
"Albanie","ALB","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.518087625537","32.998174237959","46.813328808585","51.152042295146","51.459544224624","50.609709576537","51.63636055808","55.953349416169","49.983365443398","42.718313408775","41.445415574378","39.12566375461","35.896294028449","33.752728830647","35.935868087458","36.869489186729","31.71019542577","32.100937212781","35.912906112477","37.216637800405","37.11532976757","35.962531603134","40.048299596384","41.288973724107","38.689500757628","38.615210469215","","","","",""
"Andorre","AND","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.273550207287","14.273550207287","14.308754463874","13.918954586761","14.56102441664","14.481048082727","14.100047604887","14.194002455085","14.458641723214","14.549890544617","14.890664037868","15.773868090371","16.22181888295","16.912307587612","16.874428115797","16.902436848554","17.485994289769","16.940776539218","17.422740580295","17.515948168892","19.090729970947","18.971545837393","19.195528692834","19.56369803082","19.886322942767","19.747808625736","","","","",""
"Émirats arabes unis","ARE","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.18836913280822","0.15035617651682","0.12014533950367","0.11260448554644","0.080332347267708","0.076355659207208","0.072469920617531","0.071648551153246","0.076377173371179","0.06470585608762","0.066607545080978","0.06636053344525","0.10056213849264","0.10539482919186","0.11760866804111","0.11458595675639","0.11034311508842","0.10641081798473","0.10812192488782","0.1080401226309","0.10498489803809","0.11177080546719","0.14567140139831","0.13710804607384","","","","",""
"Argentine","ARG","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9229074669639","8.7481843073882","9.4716496156294","10.128342436934","10.734909347544","11.205184634374","10.19385558559","10.999073395593","11.343009140403","10.306173385681","11.077955132177","13.040372938389","13.287978124963","12.518128565308","8.3480455344183","8.9576017553946","10.187841078426","8.887648978556","7.6096871204596","8.5740611751114","8.9614459521452","10.116846724451","9.8667017019747","10.210322899748","10.901957933633","10.040077613914","","","","",""
"Arménie","ARM","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1189443405804","2.309435803187","6.6776789414769","12.936833678324","17.763653412278","9.274352707124","12.473304372843","10.120114390478","9.3805634135059","8.3587953791746","7.16426350401","5.4191126607041","8.8993667546839","9.8116146829433","8.7079001335383","6.4911737973979","7.6528353335852","7.0172624802061","6.4051674924082","7.8005560950632","9.3598170056264","8.0096153074277","6.5657113117659","6.7712176363861","7.7247344404623","15.792003835783","","","","",""
"Samoa américaines","ASM","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.70242657400513","0.70314054045633","0.70088241526035","0.88547820197483","","","","",""
"Antigua-et-Barbuda","ATG","Consommation d’énergies renouvelables (% de la consommation totale d’énergie)","EG.FEC.RNEW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
